number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,state
59,2498.1617457197112,none,0.8664431334988753,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,12.0,0.022968438384570362,4,19,0.14731662855158492,445,100,small,0.004108229305226212,0.0024396996494221988,none,None,0.8551710624760639,none,COMPLETE
60,3316.764957776628,none,0.8641204535765882,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,12.0,0.013471577738021498,3,25,0.15092943857253277,444,99,small,0.00516440730307231,0.0023632262093933993,short,None,0.9288426289411553,none,COMPLETE
61,2367.652591980492,none,0.8094832737102899,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,12.0,0.022121859193262428,4,19,0.12433168610838369,484,128,small,0.9956578819604512,0.0016304393948766167,none,None,0.8509207130524603,none,COMPLETE
62,2606.087300453371,none,0.8094516571555322,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,12.0,0.022243206493538017,5,20,0.12954060779047105,457,114,small,0.9219861993982931,0.0018000830125105367,none,None,0.851432530216511,none,COMPLETE
63,2559.1333936887872,none,0.896352020463007,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,12.0,0.017474059305510818,4,30,0.08910056766286578,506,126,small,0.0022236287390012843,5.737152319485592e-05,none,None,0.8977676338752366,none,COMPLETE
64,2513.8128543474354,none,0.8259427022117748,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,12.0,0.02280396289587698,6,35,0.07341411856117055,374,122,small,0.5262456738575659,0.001180314557230615,none,None,0.8299046515607746,none,COMPLETE
65,3954.422447190609,none,0.8190005868032114,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,1.0,0.020263906118379176,6,23,0.06790549911885668,364,121,small,0.5528056589124376,0.010843819609441148,none,None,0.7977968183603305,none,COMPLETE
66,5615.069931001378,none,0.8761005499988666,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,True,True,6.0,0.02325913671769414,6,34,0.02922565909087227,301,113,small,0.024609236125203805,0.0011849102869637303,none,max,0.8301121542823815,none,COMPLETE
67,4105.2280303432235,none,0.7969848764238606,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,12.0,0.0159458134475017,3,28,0.14860166666369176,411,129,small,0.08052264538513482,0.004360737159143601,none,idw,0.8559489754233988,none,COMPLETE
68,4191.431109589969,none,0.8564558428686337,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,,0.012609728941536913,3,36,0.0489263646729467,473,101,small,0.36038517205382276,0.0007070812694269689,none,None,0.8171816820200993,none,COMPLETE
69,2610.7107157026016,none,0.7603415620054531,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,12.0,0.019063352392993605,5,18,0.12542181286022203,438,138,small,0.6361366976371724,0.02783277217465669,none,None,0.9208572063517911,medium,COMPLETE
